commodity,title,date,source,description,url
oil,George Jiang Digs In Heels for Asia’s Best Hedge Fund,2010-01-04,Bloomberg,"It has been a roller-coaster two years for the Golden China fund, a hedge fund run by Shanghai- based Greenwoods Asset Management Ltd.",https://www.bloomberg.com/news/articles/2010-01-05/george-jiang-digs-in-heels-for-asia-s-best-hedge-fund-update1-
oil,【米個別株】小売株、アルコア、ＢＯＡ、ボーイング,2010-01-07,Bloomberg,７日の主な銘柄は以下の通り。 小売株：米百貨店チェーン最大手のシアーズ・ホールディング (SHLD US)は12％上昇の99.18ドル。同社が発表した2009年11 月－10年１月（第４...,https://www.bloomberg.co.jp/news/articles/2010-01-07/KVWCPT07SXKX01
oil,米30年物住宅ローン金利、5.09％に低下－15年物は4.50％,2010-01-07,Bloomberg,米住宅抵当金融投資会社フレデ ィマック（連邦住宅貸付抵当公社）によると、７日までの１週間の 米固定金利型30年物住宅ローン金利は５週間ぶりに低下した。,https://www.bloomberg.co.jp/news/articles/2010-01-07/KVVYID1A74E901
oil,テクノアルファ (3089 JP) ： 通期 業績予想修正,2010-01-12,Bloomberg,1月13日 （ブルームバーグ）: テクノアルファ (3089 JP) が発表した 11月30 日 通期 単独 決算の業績予想修正は下記のとおり。,https://www.bloomberg.com/news/articles/2010-01-13/-3089-jp-in2kpk2z
oil,ＶＷ日本：日本で販売店協力などはない－スズキとの提携,2010-01-13,Bloomberg,独フォルクスワーゲン（ＶＷ）の 日本法人、フォルクスワーゲングループジャパン（ＶＧＪ、愛知県豊 橋市）のゲラシモス・ドリザス社長は14日、都内で会見し、スズキと の提携...,https://www.bloomberg.com/news/articles/2010-01-14/KW7UAX07SXKX01
oil,ギリシャ国債：下げ幅を拡大、10年債利回りは5.99％に上昇,2010-01-14,Bloomberg,14日の債券市場では、ギリシ ャ10年国債が下げ幅を拡大。利回りはロンドン時間午前11時８分 （日本時間午後８時８分）現在、前日比11ベーシスポイント（ｂｐ、 １ｂｐ＝0.01％）上昇...,https://www.bloomberg.com/news/articles/2010-01-14/KW8I7Y1A74E901
oil,【債券の発行登録】三菱レが400億円、ウッドワン、アイシン精,2010-01-21,Bloomberg,赤いタブの「97）添付ファイル」ボタンを選択してください。 ＊投資法人債は2009年10月より追加. Editor：Takashi Ueno. Copy Link.,https://www.bloomberg.com/news/articles/2010-01-22/-400
oil,Dubai Helps Iran Evade Sanctions as Smugglers Ignore U.S. Laws,2010-01-25,Bloomberg,"On a sweltering mid-October evening, horns blare as pickup trucks at Dubai Creek wharf jockey to deliver cargo bound for Iran.",https://www.bloomberg.com/news/articles/2010-01-25/dubai-helps-iran-evade-sanctions-as-smugglers-ignore-u-s-laws
oil,Secret Banking Cabal Emerges From AIG Shadows: David Reilly,2010-01-28,Bloomberg,"The idea of secret banking cabals that control the country and global economy are a given among conspiracy theorists who stockpile ammo, bottled water and...",https://www.bloomberg.com/news/articles/2010-01-28/secret-banking-cabal-emerges-from-aig-shadows-david-reilly
oil,関西電力 (9503 JP) ： 9カ月 連結決算（一覧表）,2010-01-28,Bloomberg,関西電力 (9503 JP) が発表した 12月31日 9カ月 累計四半期 連結決算は以下のとおり。,https://www.bloomberg.com/news/articles/2010-01-29/-9503-jp-9
oil,アジア投資 (8518 JP) ： 9カ月 連結決算（一覧表）,2010-02-01,Bloomberg,日本アジア投資 (8518 JP) が発表した 12月31日 9 カ月累計四半期 連結決算は以下のとおり。,https://www.bloomberg.com/news/articles/2010-02-01/-8518-jp-9
oil,トヨタ株が反落、１月の米自動車販売は前年同月比16％減,2010-02-02,Bloomberg,トヨタ自動車株が反落。前日比1.9％ 安の3535円で取引を開始した。トヨタの１月の米自動車販売は前年同月 比16％減となった。,https://www.bloomberg.com/news/articles/2010-02-03/KX8O6E6NKMX101
oil,Rapper Jay-Z Sues Highland Capital Management Over Hotel Loan,2010-02-03,Bloomberg,"Shawn Carter, the rap music artist and Rocawear clothing business founder known as Jay-Z, sued the investment firm Highland Capital Management LP in a...",https://www.bloomberg.com/news/articles/2010-02-04/rapper-jay-z-sues-highland-capital-management-over-hotel-loan
oil,Toyota Recall Crisis Mounts as U.S. Steps Up Pressure,2010-02-03,Bloomberg,U.S. Transportation Secretary Ray LaHood stepped up pressure on Toyota Motor Corp. to fix defects that have caused the recall of millions of vehicles...,https://www.bloomberg.com/news/articles/2010-02-03/toyota-recall-crisis-mounts-as-u-s-steps-up-pressure
oil,米週間失業保険申請：季節調整前は53万件に増加（表）,2010-02-04,Bloomberg,【記者： Alex Tanzi】. ２月4日（ブルームバーグ）-- 米労働省が発表 週間新規失業保険申請の概要は次の通り。 注：（SA）は季節調整済み。 （NSA）は季節調整前。,https://www.bloomberg.com/news/articles/2010-02-04/KXBM2L1A74E901
oil,オプト (2389 JP) ： 通期 連結 業績予想修正,2010-02-10,Bloomberg,2月10日 （ブルームバーグ）: オプト (2389 JP) が発表した 12月31日 通期 連結 決算の業績予想修正は下記のとおり。,https://www.bloomberg.com/news/articles/2010-02-10/-2389-jp
oil,長野銀：社債の発行登録を実施－100億円,2010-02-11,Bloomberg,長野銀行は総額100億円の社債の発 行登録を実施した。有効期間は20日から２年間。同社が関東財務局に提 出した発行登録書の記載で明らかになった。,https://www.bloomberg.com/news/articles/2010-02-12/KXPI126SETC101
oil,２月の米フィラデルフィア連銀景況指数 (一覧表),2010-02-18,Bloomberg,【記者：Alex Tanzi】. ２月 18日 (ブルームバーグ) -- 米フィラデルフィア連銀が発表した同地区 の製造業景況指数概要は次の通り。,https://www.bloomberg.com/news/articles/2010-02-18/KY1LSF0YHQ0Y01
oil,円が対ユーロで下落、４日以来の１ユーロ＝125円台,2010-02-21,Bloomberg,東京外国為替市場では、円が下落 し、対ユーロでは今月４日以来の１ユーロ＝125円台を付けた。対ドル は１ドル＝91円80銭近辺で取引されている。,https://www.bloomberg.com/news/articles/2010-02-22/KY7V496NKMWW01
